id:INTEGER,publisher,genres,coop,name,timestamp:INTEGER,system,releaseDate,players,reviewRating,esrbRating,developer
573,null,null,No,James Camerons Avatar The Game,1259625600,Microsoft Xbox 360,12/1/09,null,0 / 10,Teen,null
574,null,null,No,Janes Advanced Strike Fighters,1318896000,Microsoft Xbox 360,10/18/11,null,0 / 10,Teen,null
575,THQ,null,No,Jeopardy,1351123200,Microsoft Xbox 360,10/25/12,null,0 / 10,Everyone,Pipeworks
576,Sega,"Adventure, Music, Racing",Yes,Jet Set Radio HD,1372809600,Microsoft Xbox 360,7/3/13,2,10-May,Everyone 10+,Sega
577,null,null,No,Jillian Michaels Fitness Adventure,1320883200,Microsoft Xbox 360,11/10/11,null,0 / 10,null,null
578,null,null,No,Jimmie Johnsons Anything with an Engine,1320105600,Microsoft Xbox 360,11/1/11,null,0 / 10,Everyone 10+,null
579,null,Racing,No,Joe Danger Special Edition,1323820800,Microsoft Xbox 360,12/14/11,null,0 / 10,Everyone,Hello Games
580,null,null,No,JoJos Bizarre Adventure HD Ver,1345593600,Microsoft Xbox 360,8/22/12,null,0 / 10,null,null
581,null,Platform,No,Joust,1132617600,Microsoft Xbox 360,11/22/05,2,0 / 10,Everyone,Digital Eclipse
582,null,null,No,Juiced 2 Hot Import Nights,1189987200,Microsoft Xbox 360,9/17/07,null,0 / 10,null,null
583,null,null,No,Junk Fu,1329696000,Microsoft Xbox 360,2/20/12,null,0 / 10,Everyone,null
584,Telltale Games,Adventure,No,Jurassic Park The Game,1321315200,Microsoft Xbox 360,11/15/11,1,0 / 10,Teen,Telltale Games
585,Activision,Shooter,No,Jurassic The Hunted,1257206400,Microsoft Xbox 360,11/3/09,1,0 / 10,Teen,Cauldron
586,Eidos Interactive,Action,No,Just Cause,1159228800,Microsoft Xbox 360,9/26/06,null,0 / 10,null,Avalanche Studios (SE)
587,Square Enix,null,No,Just Cause 2,1269302400,Microsoft Xbox 360,3/23/10,null,0 / 10,Mature,null
588,Ubisoft,Music,No,Just Dance 2014,1380585600,Microsoft Xbox 360,10/1/13,4,10-Jun,Everyone,Ubisoft
589,Ubisoft,Music,No,Just Dance 3,1317945600,Microsoft Xbox 360,10/7/11,4,0 / 10,Everyone 10+,Ubisoft Paris
590,Ubisoft,Music,No,Just Dance 4,1349740800,Microsoft Xbox 360,10/9/12,null,0 / 10,Everyone 10+,Ubisoft
591,null,null,No,Just Dance Greatest Hits,1340668800,Microsoft Xbox 360,6/26/12,null,0 / 10,null,null
592,Ubisoft,Music,No,Just Dance Kids 2,1319500800,Microsoft Xbox 360,10/25/11,null,0 / 10,Everyone,Land Ho!
593,Microsoft Game Studios,"Action, Adventure",No,Kameo Elements of Power,1131321600,Microsoft Xbox 360,11/7/05,null,0 / 10,Teen,Rare
594,null,Action,Yes,Kane Lynch 2 Dog Days,1282003200,Microsoft Xbox 360,8/17/10,2,0 / 10,Mature,Eidos
595,null,null,No,Kane Lynch Dead Men,1194912000,Microsoft Xbox 360,11/13/07,null,0 / 10,null,null
596,Konami,Music,Yes,Karaoke Revolution Presents American Idol Encore,1202169600,Microsoft Xbox 360,2/5/08,2,0 / 10,Everyone,Blitz Games
597,null,null,No,Karaoke Revolution Presents American Idol Encore 2,1226966400,Microsoft Xbox 360,11/18/08,null,0 / 10,Everyone 10+,null
598,Majesco,Fighting,No,Kengo Legend of the 9,1189468800,Microsoft Xbox 360,9/11/07,2,0 / 10,Mature,Genki
599,null,null,No,Killer is Dead,1377561600,Microsoft Xbox 360,8/27/13,null,0 / 10,null,null
600,null,null,No,Kinect Adventures,1288828800,Microsoft Xbox 360,11/4/10,null,0 / 10,null,null
601,null,null,No,Kinect Disneyland Adventures,1321315200,Microsoft Xbox 360,11/15/11,null,0 / 10,null,null
602,null,Racing,No,Kinect Joy Ride,1289347200,Microsoft Xbox 360,11/10/10,null,0 / 10,null,null
603,Microsoft,Action,No,Kinect Nat Geo TV America the Wild,1347926400,Microsoft Xbox 360,9/18/12,null,0 / 10,Everyone 10+,null
604,null,null,No,Kinect Rush A Disney Pixar Adventure,1332201600,Microsoft Xbox 360,3/20/12,null,0 / 10,Everyone,null
605,Microsoft Studios,null,No,Kinect Sesame Street TV,1347926400,Microsoft Xbox 360,9/18/12,null,0 / 10,Early Childhood,Relentless Software
606,null,null,No,Kinect Sports,1288828800,Microsoft Xbox 360,11/4/10,null,10-May,null,null
607,null,null,No,Kinect Sports Season 2,1319500800,Microsoft Xbox 360,10/25/11,null,0 / 10,null,null
608,Microsoft Game Studios,Sports,Yes,Kinect Sports Ultimate Collection,1347926400,Microsoft Xbox 360,9/18/12,4,10-May,Everyone 10+,Rare  Big Park
609,null,null,No,Kinect Star Wars,1333411200,Microsoft Xbox 360,4/3/12,null,0 / 10,Teen,null
610,Microsoft,null,No,Kinectimals,1288828800,Microsoft Xbox 360,11/4/10,null,0 / 10,Everyone,Frontier Developments
611,Microsoft Game Studios,Life Simulation,No,Kinectimals Now with Bears,1318291200,Microsoft Xbox 360,10/11/11,1,0 / 10,Everyone,Frontier Developments
612,Microsoft Game Studios,"Action, Role-Playing",No,Kingdom Under Fire Circle of Doom,1199750400,Microsoft Xbox 360,1/8/08,4,0 / 10,Mature,Blueside
613,Electronic Arts,"Action, Role-Playing",No,Kingdoms of Amalur Reckoning,1328572800,Microsoft Xbox 360,2/7/12,1,10-Sep,Mature,38 Studios/Big Huge Games
614,Namco Bandai,Action,No,Knights Contract,1298332800,Microsoft Xbox 360,2/22/11,1,0 / 10,Mature,Namco Bandai
615,Konami,"Action, Adventure, Horror, Platform, Role-Playing, Shooter",No,Konami Classics Vol 1,1261094400,Microsoft Xbox 360,12/18/09,2,0 / 10,Teen,Konami
616,UTV True Games,Fighting,No,Kung Fu High Impact,1321833600,Microsoft Xbox 360,11/21/11,null,0 / 10,Teen,Virtual Air Guitar Company
617,Activision,Action,No,Kung Fu Panda,1212451200,Microsoft Xbox 360,6/3/08,4,0 / 10,Everyone,Xpec
618,THQ,Action,No,Kung Fu Panda 2,1306195200,Microsoft Xbox 360,5/24/11,1,0 / 10,Everyone 10+,Griptonite Games
619,Rockstar Games,"Action, Adventure",No,LA Noire,1305590400,Microsoft Xbox 360,5/17/11,1,0 / 10,Mature,Team Bondi/Rockstar Leeds
620,Rockstar Games,"Action, Sandbox, Shooter",No,LA Noire The Complete Edition,1321315200,Microsoft Xbox 360,11/15/11,1,0 / 10,Mature,Team Bondi
621,null,Shooter,Yes,Lara Croft and the Guardian of Light,1282089600,Microsoft Xbox 360,8/18/10,2,0 / 10,Teen,Crystal Dynamics
622,Focus,"Adventure, Puzzle",No,Le Testament de Sherlock Holmes,1348099200,Microsoft Xbox 360,9/20/12,1,0 / 10,Everyone 10+,Frogwares
623,null,null,No,Le Tour de France,1309478400,Microsoft Xbox 360,7/1/11,null,10-Jun,null,null
624,Valve Corporation,"Horror, Shooter",Yes,Left 4 Dead,1219104000,Microsoft Xbox 360,8/19/08,4,10-Aug,Mature,Valve Corporation/Turtle Rock Studios
625,null,"Action, Horror, Shooter",Yes,Left 4 Dead 2,1258416000,Microsoft Xbox 360,11/17/09,null,10-Jun,Mature,null
626,Valve,null,No,Left 4 Dead Game of the Year Edition,1242086400,Microsoft Xbox 360,5/12/09,null,0 / 10,Mature,null
627,null,null,No,Legend of the Guardians The Owls of GaHoole,1284422400,Microsoft Xbox 360,9/14/10,null,0 / 10,Everyone 10+,null
628,Gamecock Media Group,Shooter,No,Legendary,1220486400,Microsoft Xbox 360,9/4/08,4,0 / 10,Mature,Spark Unlimited
629,WB Games,"Action, Adventure",Yes,LEGO Batman 2 DC Super Heroes,1340064000,Microsoft Xbox 360,6/19/12,2,0 / 10,Everyone 10+,Traveller's Tales Ltd.
630,"Warner,wb","Action, Adventure",Yes,LEGO Batman 3 Beyond Gotham,1419984000,Microsoft Xbox 360,12/31/14,2,0 / 10,null,"Warner,wb"
631,null,null,No,LEGO BatmanPure,1293840000,Microsoft Xbox 360,1/1/11,null,0 / 10,Everyone,null
632,null,"Action, Adventure",No,Lego Batman The Videogame,1222128000,Microsoft Xbox 360,9/23/08,null,0 / 10,Everyone 10+,null
633,Warner Bros. Interactive,Action,Yes,LEGO Harry Potter Years 14,1277769600,Microsoft Xbox 360,6/29/10,2,0 / 10,Everyone,null
634,Warner Bros. Interactive,Action,No,LEGO Harry Potter Years 57,1320969600,Microsoft Xbox 360,11/11/11,2,0 / 10,Everyone 10+,null
635,LucasArts,Action,Yes,LEGO Indiana Jones 2 The Adventure Continues,1258416000,Microsoft Xbox 360,11/17/09,2,0 / 10,Everyone 10+,null
636,null,null,No,LEGO Indiana Jones The Original Adventures,1212451200,Microsoft Xbox 360,6/3/08,null,0 / 10,null,null
637,null,null,No,LEGO Marvel Super Heroes,1382400000,Microsoft Xbox 360,10/22/13,null,0 / 10,null,null
638,null,Action,Yes,LEGO Pirates of the Caribbean The Video Game,1304985600,Microsoft Xbox 360,5/10/11,2,0 / 10,Everyone 10+,null
639,null,Music,No,LEGO Rock Band,1257206400,Microsoft Xbox 360,11/3/09,4,0 / 10,Everyone,null
640,LucasArts,"Action, Adventure",No,Lego Star Wars II The Original Trilogy,1158019200,Microsoft Xbox 360,9/12/06,null,0 / 10,Everyone 10+,Traveller's Tales
641,LucasArts,Action,Yes,LEGO Star Wars III The Clone Wars,1300752000,Microsoft Xbox 360,3/22/11,2,0 / 10,Everyone 10+,null
642,null,Action,Yes,LEGO Star Wars The Complete Saga,1194307200,Microsoft Xbox 360,11/6/07,2,0 / 10,Everyone 10+,null
643,"Warner,wb","Action, Adventure",Yes,LEGO The Hobbit,1397692800,Microsoft Xbox 360,4/17/14,2,0 / 10,Everyone 10+,"Warner,wb"
644,"Warner,wb","Action, Adventure",No,LEGO The LEGO Movie Videogame,1391731200,Microsoft Xbox 360,2/7/14,2,0 / 10,Everyone 10+,TT Games
645,WB Games,"Action, Adventure",Yes,LEGO The Lord of the Rings,1352764800,Microsoft Xbox 360,11/13/12,2,0 / 10,Everyone 10+,Traveller's Tales Ltd.
646,Funsta,"Adventure, Puzzle",No,Leisure Suit Larry Box Office Bust,1238457600,Microsoft Xbox 360,3/31/09,1,10-Mar,Mature,Team 17
647,null,null,No,Lets Dance with Mel B,1335225600,Microsoft Xbox 360,4/24/12,null,0 / 10,Teen,null
648,"Square Enix Co., Ltd.",Role-Playing,No,Lightning Returns Final Fantasy XIII,1392076800,Microsoft Xbox 360,2/11/14,1,0 / 10,Teen,"Square Enix Co., Ltd."
649,null,null,No,LIMBO,1279670400,Microsoft Xbox 360,7/21/10,null,0 / 10,Teen,null
650,Microsoft Game Studios,Music,Yes,Lips,1226966400,Microsoft Xbox 360,11/18/08,2,0 / 10,null,iNiS
651,null,Music,Yes,Lips I Love the 80s,1270166400,Microsoft Xbox 360,4/2/10,2,0 / 10,Everyone 10+,null
652,Microsoft Game Studios,Music,Yes,Lips Number One Hits,1255996800,Microsoft Xbox 360,10/20/09,2,0 / 10,Everyone 10+,iNiS
653,Microsoft Game Studios,Music,Yes,Lips Party Classics,1267488000,Microsoft Xbox 360,3/2/10,2,0 / 10,Everyone 10+,iNiS
654,null,null,No,Lollipop Chainsaw,1339459200,Microsoft Xbox 360,6/12/12,null,0 / 10,Mature,null
655,null,null,No,London 2012 The Official Video Game of the Olympic Games,1340668800,Microsoft Xbox 360,6/26/12,null,0 / 10,Everyone,null
656,Microsoft Studios,Role-Playing,No,Lost Odyssey,1202774400,Microsoft Xbox 360,2/12/08,1,10-Jun,Teen,"Mistwalker, Feelplus"
657,Capcom,Shooter,No,Lost Planet 2,1273536000,Microsoft Xbox 360,5/11/10,1,0 / 10,Teen,Capcom
658,Capcom,Shooter,No,Lost Planet 3,1374883200,Microsoft Xbox 360,7/27/13,null,0 / 10,null,Spark Unlimited
659,Capcom,null,No,Lost Planet Extreme Condition,1211846400,Microsoft Xbox 360,5/27/08,null,10-Jul,Teen,Capcom
660,null,null,No,Lost Planet Extreme Condition Colonies Edition,1211846400,Microsoft Xbox 360,5/27/08,null,0 / 10,Teen,null
661,Ubisoft,"Action, Adventure",No,Lost Via Domus,1203984000,Microsoft Xbox 360,2/26/08,1,0 / 10,Teen,Ubisoft Montreal
662,null,null,No,Lucha Libre AAA Heroes del Ring,1286841600,Microsoft Xbox 360,10/12/10,null,0 / 10,null,null
663,null,Puzzle,No,Luxor 2,1175644800,Microsoft Xbox 360,4/4/07,1,0 / 10,Everyone,MumboJumbo
664,null,null,No,Machiing Maker 4,1322006400,Microsoft Xbox 360,11/23/11,null,0 / 10,null,null
665,D3Publisher,"Action, Adventure",No,Madagascar 3 The Video Game,1338854400,Microsoft Xbox 360,6/5/12,null,0 / 10,Everyone,null
666,null,null,No,Madagascar Kartz,1256256000,Microsoft Xbox 360,10/23/09,null,0 / 10,Everyone,null
667,null,null,No,Madagascar Escape 2 Africa,1225756800,Microsoft Xbox 360,11/4/08,null,10-Apr,Everyone 10+,null
668,EA,Sports,No,Madden NFL 06,1123459200,Microsoft Xbox 360,8/8/05,2,0 / 10,Everyone,EA Tiburon
669,Electronic Arts,Sports,No,Madden NFL 07,1156204800,Microsoft Xbox 360,8/22/06,2,10-May,Everyone,Electronic Arts
670,EA,Sports,No,Madden NFL 08,1187049600,Microsoft Xbox 360,8/14/07,null,0 / 10,Everyone,EA
671,EA,Sports,No,Madden NFL 09,1218499200,Microsoft Xbox 360,8/12/08,null,0 / 10,Everyone,Tiburon
672,Electronic Arts Inc.,Sports,No,Madden NFL 10,1250208000,Microsoft Xbox 360,8/14/09,2,0 / 10,Everyone,Electronic Arts - Tiburon
673,EA Sports,Sports,No,Madden NFL 11,1281398400,Microsoft Xbox 360,8/10/10,null,0 / 10,Everyone,Tiburon
674,null,null,No,Madden NFL 12,1314662400,Microsoft Xbox 360,8/30/11,null,0 / 10,null,null
675,Electronic Arts,Sports,No,Madden NFL 13,1346112000,Microsoft Xbox 360,8/28/12,null,0 / 10,Everyone,null
676,Electronic Arts,Sports,No,Madden NFL 15,1409011200,Microsoft Xbox 360,8/26/14,4,0 / 10,Everyone,Electronic Arts
677,EA,Sports,Yes,Madden NFL 25,1377561600,Microsoft Xbox 360,8/27/13,2,0 / 10,Everyone,null
678,null,null,No,Madden NFL Arcade,1259020800,Microsoft Xbox 360,11/24/09,null,0 / 10,Everyone,null
679,null,null,No,Mafia II,1282608000,Microsoft Xbox 360,8/24/10,1,0 / 10,Mature,null
680,null,null,No,Mafia II Directors Cut,1309824000,Microsoft Xbox 360,7/5/11,null,0 / 10,Mature,null
681,Microsoft Game Studio,Strategy,Yes,Magic The Gathering Duels of the Planeswalkers 2012,1308096000,Microsoft Xbox 360,6/15/11,4,10-Jul,null,Stainless Games
682,Microsoft Game Studios,Strategy,Yes,Magic the Gathering Duels of the Planeswalkers 2013,1340150400,Microsoft Xbox 360,6/20/12,4,0 / 10,Everyone 10+,Stainless Games
683,Namco,Role-Playing,No,Magna Carta 2,1255392000,Microsoft Xbox 360,10/13/09,1,0 / 10,Teen,Namco
684,null,null,No,Mahjong â˜… Dream C Club,1332979200,Microsoft Xbox 360,3/29/12,null,0 / 10,null,null
685,Namco Bandai Games,"Action, Adventure, Platform, Puzzle",No,Majin and the Forsaken Kingdom,1290470400,Microsoft Xbox 360,11/23/10,1,0 / 10,Teen,Game Republic
686,null,null,No,Major League Baseball 2K10,1267488000,Microsoft Xbox 360,3/2/10,null,0 / 10,Everyone,null
687,null,null,No,Major League Baseball 2K11,1299542400,Microsoft Xbox 360,3/8/11,null,0 / 10,Everyone,null
688,2K Sports,Sports,No,Major League Baseball 2K12,1330992000,Microsoft Xbox 360,3/6/12,null,10-May,null,Visual Concepts
689,2K Sports,Sports,No,Major League Baseball 2K6,1144713600,Microsoft Xbox 360,4/11/06,null,0 / 10,Everyone,null
690,null,null,No,Major League Baseball 2K7,1172448000,Microsoft Xbox 360,2/26/07,null,0 / 10,Everyone,null
691,null,null,No,Major League Baseball 2K8,1204502400,Microsoft Xbox 360,3/3/08,null,0 / 10,Everyone,null
692,2K Sports,Sports,No,Major League Baseball 2K9,1236038400,Microsoft Xbox 360,3/3/09,2,0 / 10,null,Visual Concepts
693,null,null,No,Man Vs Wild,1302566400,Microsoft Xbox 360,4/12/11,null,0 / 10,null,null
694,null,Platform,No,Marble Blast Ultra,1137974400,Microsoft Xbox 360,1/23/06,4,0 / 10,Everyone,GarageGames
695,Microsoft Game Studios,"Action, Adventure, Stealth",No,Mark of the Ninja,1346976000,Microsoft Xbox 360,9/7/12,1,10-Sep,Mature,Klei Entertainment
696,null,Flight Simulator,No,Mars Rover Landing,1342396800,Microsoft Xbox 360,7/16/12,1,0 / 10,Everyone,Smoking Gun Interactive Inc.
697,Ubisoft,null,No,Marvel Avengers Battle for Earth,1351555200,Microsoft Xbox 360,10/30/12,null,0 / 10,Teen,Ubisoft Quebec
698,THQ,null,No,Marvel Super Hero Squad Comic Combat,1321315200,Microsoft Xbox 360,11/15/11,1,0 / 10,Everyone 10+,Griptonite Games
699,THQ,null,Yes,Marvel Super Hero Squad The Infinity Gauntlet,1289865600,Microsoft Xbox 360,11/16/10,2,0 / 10,Everyone 10+,Griptonite Games
700,Microsoft Game Studios,"Action, Fighting, Racing",Yes,Marvel Ultimate Alliance Forza 2 Combo Pack,1180396800,Microsoft Xbox 360,5/29/07,4,0 / 10,Teen,Raven Software
701,null,null,No,Marvel Ultimate Alliance Gold,1179187200,Microsoft Xbox 360,5/15/07,null,0 / 10,Teen,null
702,null,Fighting,No,Marvel vs Capcom 3 Fate of Two Worlds,1297728000,Microsoft Xbox 360,2/15/11,2,0 / 10,Teen,null
703,Capcom,Fighting,No,Marvel vs Capcom 3 Fate of Two Worlds Special Edition,1297728000,Microsoft Xbox 360,2/15/11,2,0 / 10,Teen,Capcom
704,Capcom,null,No,Marvel vs Capcom Origins,1348531200,Microsoft Xbox 360,9/25/12,2,0 / 10,Teen,Capcom
705,null,null,No,Marvel Ultimate Alliance,1164326400,Microsoft Xbox 360,11/24/06,null,0 / 10,null,null
706,null,null,No,Marvel Ultimate Alliance 2,1252972800,Microsoft Xbox 360,9/15/09,null,0 / 10,Teen,null
707,Microsoft Game Studios,"Action, Adventure, Role-Playing, Shooter",No,Mass Effect,1195516800,Microsoft Xbox 360,11/20/07,1,10-Sep,Mature,Bioware
708,Electronic Arts,"Action, Adventure, Role-Playing, Shooter",No,Mass Effect 2,1264464000,Microsoft Xbox 360,1/26/10,1,10-Aug,Mature,Bioware
709,Electronic Arts,"Action, Adventure, Role-Playing, Shooter",No,Mass Effect 2 Collectors Edition,1264464000,Microsoft Xbox 360,1/26/10,1,0 / 10,Mature,Bioware
710,Electronic Arts,"Action, Adventure, Role-Playing",No,Mass Effect 3,1330992000,Microsoft Xbox 360,3/6/12,4,0 / 10,Mature,Bioware
711,Electronic Arts,"Action, Adventure, Role-Playing",Yes,Mass Effect 3 N7 Collectors Edition,1330992000,Microsoft Xbox 360,3/6/12,4,0 / 10,Mature,BioWare
712,null,null,No,Mass Effect Trilogy,1352160000,Microsoft Xbox 360,11/6/12,null,0 / 10,Mature,null
713,Microsoft,Role-Playing,No,Mass Effect Platinum Hits,1195516800,Microsoft Xbox 360,11/20/07,1,0 / 10,Mature,BioWare
714,null,null,No,Matt Hazard Blood Bath and Beyond,1262736000,Microsoft Xbox 360,1/6/10,null,0 / 10,Mature,null
715,Rockstar Games,"Action, Shooter",No,Max Payne 3,1337040000,Microsoft Xbox 360,5/15/12,4,10-Jul,Mature,Rockstar Vancouver
716,Rombax Games,Racing,No,Mayhem,1301011200,Microsoft Xbox 360,3/25/11,null,0 / 10,Everyone,Left Field Productions
717,null,null,No,Medal of Honor,1286841600,Microsoft Xbox 360,10/12/10,null,0 / 10,Mature,null
718,Electronic Arts,Shooter,No,Medal of Honor Warfighter Limited Edition,1350950400,Microsoft Xbox 360,10/23/12,null,0 / 10,Mature,Danger Close Games
719,null,null,No,Medal of Honor Airborne,1188864000,Microsoft Xbox 360,9/4/07,null,0 / 10,null,null
720,null,Shooter,No,Medal of Honor Warfighter,1350950400,Microsoft Xbox 360,10/23/12,4,0 / 10,Mature,Danger Close Games
721,Capcom,Action,No,Mega Man 10,1269993600,Microsoft Xbox 360,3/31/10,1,0 / 10,Everyone,Intl Creates
722,null,null,No,Megamind Ultimate Showdown,1288656000,Microsoft Xbox 360,11/2/10,null,0 / 10,null,null
723,null,"Action, Sandbox, Shooter",Yes,Mercenaries 2 World in Flames,1220140800,Microsoft Xbox 360,8/31/08,1,0 / 10,Teen,null
724,null,null,No,Metal Gear Rising Revengeance,1361232000,Microsoft Xbox 360,2/19/13,null,0 / 10,Mature,null
725,Konami,Stealth,No,Metal Gear Solid HD Collection,1320710400,Microsoft Xbox 360,11/8/11,1,0 / 10,Mature,Kojima Productions
726,Konami,"Action, Adventure, Role-Playing, Stealth",No,Metal Gear Solid V Ground Zeroes,1395100800,Microsoft Xbox 360,3/18/14,1,0 / 10,null,Kojima Productions
727,Konami,null,No,Metal Gear Solid V The Phantom Pain,1435622400,Microsoft Xbox 360,6/30/15,null,0 / 10,null,Kojima Productions
728,null,null,No,Metro 2033,1268697600,Microsoft Xbox 360,3/16/10,null,0 / 10,Mature,null
729,null,null,No,Metro Last Light,1368489600,Microsoft Xbox 360,5/14/13,null,0 / 10,Mature,null
730,null,null,No,Metro Last Light Limited Edition,1368489600,Microsoft Xbox 360,5/14/13,null,0 / 10,Mature,null
731,Ubisoft,null,No,Michael Jackson The Experience,1302566400,Microsoft Xbox 360,4/12/11,null,0 / 10,Everyone 10+,Ubisoft
732,null,null,No,Michael Phelps Push the Limit,1318291200,Microsoft Xbox 360,10/11/11,null,0 / 10,null,null
733,null,null,No,MicroBot,1293580800,Microsoft Xbox 360,12/29/10,null,0 / 10,Everyone,null
734,Warner Bros. Interactive,"Action, Adventure, Role-Playing",No,MiddleEarth Shadow of Mordor,1412035200,Microsoft Xbox 360,9/30/14,1,0 / 10,null,Monolith Productions
735,null,null,No,Midnight Club Los Angeles,1224460800,Microsoft Xbox 360,10/20/08,null,0 / 10,Teen,null
736,null,Racing,No,Midnight Club Los Angeles Complete Edition,1254096000,Microsoft Xbox 360,9/28/09,4,0 / 10,Teen,Rockstar San Diego
737,Warner Bros. Interactive,"Action, Adventure, Fighting, Platform, Puzzle, Racing",Yes,Midway Arcade Origins,1352764800,Microsoft Xbox 360,11/13/12,4,0 / 10,Teen,Backbone Entertainment
738,Ubisoft,"Puzzle, Role-Playing",No,Might Magic Clash of Heroes,1302652800,Microsoft Xbox 360,4/13/11,4,0 / 10,Everyone 10+,Capybara Games
739,null,null,No,Military Madness Nectaris,1254268800,Microsoft Xbox 360,9/30/09,null,0 / 10,Everyone 10+,null
740,null,null,No,MindJack,1295308800,Microsoft Xbox 360,1/18/11,null,0 / 10,null,null
741,null,null,No,Minecraft,1370304000,Microsoft Xbox 360,6/4/13,null,0 / 10,Everyone 10+,null
742,null,null,No,Mini Ninjas,1252368000,Microsoft Xbox 360,9/8/09,1,0 / 10,Everyone 10+,null
743,null,null,No,Minute to Win It,1318896000,Microsoft Xbox 360,10/18/11,null,0 / 10,null,null
744,Electronic Arts,Platform,No,Mirrors Edge,1226448000,Microsoft Xbox 360,11/12/08,1,10-Aug,Teen,DICE
745,null,null,No,MLB 2K13,1362441600,Microsoft Xbox 360,3/5/13,null,0 / 10,Everyone,null
746,2K Sports,null,No,MLB Front Office Manager,1232928000,Microsoft Xbox 360,1/26/09,null,0 / 10,Everyone,Blue Castle Games
747,Majesco Entertainment,"Puzzle, Strategy",Yes,Monaco Whats Yours Is Mine,1366761600,Microsoft Xbox 360,4/24/13,4,0 / 10,Teen,PocketWatch Games
748,null,null,null,Monday Night Combat,,Microsoft Xbox 360,null,null,0 / 10,null,null
749,null,null,No,Monkey Island 2 Special Edition LeChucks Revenge,1278460800,Microsoft Xbox 360,7/7/10,null,0 / 10,Everyone 10+,null
750,null,null,No,Monopoly,1224460800,Microsoft Xbox 360,10/20/08,4,0 / 10,Everyone 10+,null
751,null,null,No,Monopoly Streets,1288569600,Microsoft Xbox 360,11/1/10,null,0 / 10,null,null
752,Activision,Racing,No,Monster Jam Path of Destruction,1289260800,Microsoft Xbox 360,11/9/10,null,0 / 10,Everyone,Virtuos
753,null,null,No,Monster Madness Battle for Suburbia,1181606400,Microsoft Xbox 360,6/12/07,null,0 / 10,Teen,null
754,null,null,No,Monsters vs Aliens,1237852800,Microsoft Xbox 360,3/24/09,null,0 / 10,Everyone,null
755,null,null,null,Morph,,Microsoft Xbox 360,null,null,0 / 10,null,null
756,505 Games,Action,No,MorphX,1285632000,Microsoft Xbox 360,9/28/10,1,0 / 10,Mature,Buka
757,Warner Interactive,Fighting,No,Mortal Kombat,1303344000,Microsoft Xbox 360,4/21/11,2,10-Jun,Mature,NetherRealm Studios
758,null,Fighting,No,Mortal Kombat vs DC Universe,1226793600,Microsoft Xbox 360,11/16/08,2,0 / 10,null,null
759,Warner Bros. Interactive Entertainment,Fighting,No,Mortal Kombat Komplete Edition,1330387200,Microsoft Xbox 360,2/28/12,2,0 / 10,Mature,NetherRealm Studios
760,null,null,No,Motion Explosion,1320105600,Microsoft Xbox 360,11/1/11,null,0 / 10,null,null
761,null,null,No,Motionsports Adrenaline,1320105600,Microsoft Xbox 360,11/1/11,null,0 / 10,Everyone,null
762,null,null,No,MotionSports Play for Real,1288828800,Microsoft Xbox 360,11/4/10,null,0 / 10,null,null
763,Microsoft Games,Racing,Yes,Motocross Madness,1365552000,Microsoft Xbox 360,4/10/13,4,0 / 10,null,Rainbow Studios
764,THQ,Racing,No,MotoGP 06,1150070400,Microsoft Xbox 360,6/12/06,null,0 / 10,Everyone,Climax Studios
765,null,null,No,MotoGP 0910,1269302400,Microsoft Xbox 360,3/23/10,null,0 / 10,Everyone,null
766,Microsoft Game Studios,Action,No,Ms Splosion Man,1310515200,Microsoft Xbox 360,7/13/11,null,0 / 10,Everyone,Twisted Pixel
767,null,Shooter,Yes,Muchi Muchi Pork Pink Sweets,,Microsoft Xbox 360,null,2,0 / 10,null,null
768,null,null,No,MUD FIM Motocross World Championship,1361836800,Microsoft Xbox 360,2/26/13,null,0 / 10,Teen,null
769,Square Enix,Adventure,No,Murdered Soul Suspect,1401753600,Microsoft Xbox 360,6/3/14,1,0 / 10,null,Airtight Games
770,Cave,Shooter,No,Mushihimesama HD,1337817600,Microsoft Xbox 360,5/24/12,2,10-Jul,null,Cave
771,null,Shooter,Yes,Mushihimesama Futari,,Microsoft Xbox 360,null,2,0 / 10,null,cave
772,null,Racing,No,MX vs ATV Alive,1304985600,Microsoft Xbox 360,5/10/11,null,0 / 10,Everyone,null
773,null,null,No,MX vs ATV Reflex,1259625600,Microsoft Xbox 360,12/1/09,null,0 / 10,Everyone,null
774,THQ,null,No,MX vs ATV Untamed,1197849600,Microsoft Xbox 360,12/17/07,null,0 / 10,Everyone,null
775,null,null,No,MySims SkyHeroes,1285632000,Microsoft Xbox 360,9/28/10,null,0 / 10,Everyone 10+,null
776,Konami,Fighting,Yes,N3II NinetyNine Nights,1277769600,Microsoft Xbox 360,6/29/10,2,0 / 10,Mature,feelplus
777,Deep Silver,"Racing, Sports",No,Naild,1291075200,Microsoft Xbox 360,11/30/10,4,0 / 10,Everyone 10+,Techland
778,null,null,No,Namco Museum Virtual Arcade,1225756800,Microsoft Xbox 360,11/4/08,null,0 / 10,null,null
779,null,null,No,Naruto Shippuden Ultimate Ninja Storm 3,1362441600,Microsoft Xbox 360,3/5/13,null,0 / 10,null,null
780,Namco Bandai Games,null,No,Naruto Shippuden Ultimate Ninja Storm Generations,1331596800,Microsoft Xbox 360,3/13/12,null,0 / 10,Teen,Racjin
